ReviewID,OrderID,UserID,ProductID,ReviewDate,ReviewRating,ReviewText
R0046,O0046,U0155,P0044,2026-03-18,5,"Bright and energy-efficient bulbs."
R0047,O0047,U0119,P0175,2026-03-18,4,"Cricket bat has good balance."
R0048,O0048,U0312,P0031,2026-03-19,5,"Excellent camera, highly recommended."
R0049,O0049,U0227,P0156,2026-03-20,4,"Trendy jacket, love the design."
R0050,O0050,U0181,P0078,2026-03-21,, 
R0051,O0051,U0298,P0142,2026-03-22,5,"Cool and quiet AC, perfect for summer."
R0052,O0052,U0160,P0128,2026-03-23,4,"TV quality is crisp."
R0053,O0053,U0137,P0091,2026-03-23,3,"Storage works fine, could be faster."
R0054,O0054,U0216,P0174,2026-03-24,5,"Great grip and durability."
R0055,O0055,U0275,P0064,2026-03-24,, 
R0056,O0056,U0208,P0189,2026-03-25,5,"Nice tennis balls pack."
R0057,O0057,U0159,P0022,2026-03-26,4,"Desk is sturdy and spacious."
R0058,O0058,U0188,P0194,2026-03-26,5,"Motivating and inspiring book!"
R0059,O0059,U0314,P0087,2026-03-27,3,"Printer quality is average."
R0060,O0060,U0135,P0108,2026-03-27,, 
R0061,O0061,U0214,P0151,2026-03-28,4,"Good fit for workouts."
R0062,O0062,U0243,P0130,2026-03-28,5,"TV is amazing for the price!"
R0063,O0063,U0307,P0055,2026-03-29,4,"Nice hoodie, fabric is soft."
R0064,O0064,U0173,P0187,2026-03-30,2,"Boxing gloves tore quickly."
R0065,O0065,U0222,P0126,2026-03-31,5,"Fantastic TV with vibrant colors."
R0066,O0066,U0260,P0169,2026-04-01,, 
R0067,O0067,U0190,P0117,2026-04-02,5,"Sleek design and powerful performance."
R0068,O0068,U0144,P0032,2026-04-03,4,"PlayStation is excellent!"
R0069,O0069,U0282,P0099,2026-04-04,3,"Decent phone but battery drains fast."
R0070,O0070,U0252,P0159,2026-04-05,5,"Stylish tie, looks great!"
R0071,O0071,U0165,P0080,2026-04-06,4,"Nice Bluetooth speaker with clear sound."
R0072,O0072,U0236,P0147,2026-04-07,5,"Godrej AC works wonderfully!"
R0073,O0073,U0182,P0066,2026-04-07,5,"Kindle is perfect for reading."
R0074,O0074,U0261,P0049,2026-04-08,4,"Good quality volleyball."
R0075,O0075,U0140,P0094,2026-04-09,3,"RAM works fine, installation tricky."
R0076,O0076,U0300,P0173,2026-04-09,, 
R0077,O0077,U0110,P0027,2026-04-10,5,"Shoes are very comfortable."
R0078,O0078,U0209,P0193,2026-04-10,4,"Good book, easy to read."
R0079,O0079,U0276,P0056,2026-04-11,5,"Laptop is fast and sleek."
R0080,O0080,U0224,P0133,2026-04-12,4,"Air fryer cooks evenly."
R0081,O0081,U0174,P0161,2026-04-12,5,"Lipstick color is beautiful!"
R0082,O0082,U0212,P0070,2026-04-13,3,"Fridge is okay but small capacity."
R0083,O0083,U0287,P0186,2026-04-14,5,"Volleyball is great for practice."
R0084,O0084,U0129,P0014,2026-04-15,4,"Nice badminton racket."
R0085,O0085,U0195,P0190,2026-04-15,, 
R0086,O0086,U0257,P0035,2026-04-16,5,"Durable backpack, love the design."
R0087,O0087,U0138,P0119,2026-04-17,5,"Monitor is sharp and bright."
R0088,O0088,U0180,P0060,2026-04-17,4,"Smartwatch is feature-rich."
R0089,O0089,U0226,P0098,2026-04-18,3,"Phone is good but camera is average."
R0090,O0090,U0308,P0046,2026-04-19,5,"Stove is sturdy and efficient."
R0091,O0091,U0166,P0178,2026-04-20,5,"Table tennis table is fantastic!"
R0092,O0092,U0270,P0121,2026-04-20,4,"Monitor is big and clear."
R0093,O0093,U0147,P0163,2026-04-21,5,"Mascara gives a bold look."
R0094,O0094,U0217,P0085,2026-04-22,3,"Printer quality is okay."
R0095,O0095,U0254,P0191,2026-04-23,, 
R0096,O0096,U0186,P0021,2026-04-24,5,"Chair is comfortable for long hours."
R0097,O0097,U0292,P0107,2026-04-24,4,"Pixel phone is smooth and responsive."
R0098,O0098,U0133,P0131,2026-04-25,5,"Room heater is very effective."
R0099,O0099,U0220,P0171,2026-04-26,4,"Yoga mat is firm and non-slip."
R0100,O0100,U0191,P0122,2026-04-27,3,"Curved monitor looks good."
R0101,O0101,U0262,P0058,2026-04-28,5,"Smart TV picture quality is superb."
R0102,O0102,U0154,P0181,2026-04-28,5,"Tent is spacious and sturdy."
R0103,O0103,U0116,P0096,2026-04-29,4,"Phone performance is great."
R0104,O0104,U0200,P0167,2026-04-29,3,"Deodorant fragrance fades quickly."
R0105,O0105,U0289,P0033,2026-04-30,, 
R0106,O0106,U0178,P0118,2026-05-01,5,"Laptop is sleek and high-performing."
R0107,O0107,U0239,P0148,2026-05-01,4,"Panasonic AC is good."
R0108,O0108,U0126,P0063,2026-05-02,5,"Headphones deliver amazing sound."
R0109,O0109,U0185,P0029,2026-05-02,4,"Blender works efficiently."
R0110,O0110,U0305,P0101,2026-05-03,5,"Galaxy Tab is excellent for work."
R0111,O0111,U0169,P0188,2026-05-04,3,"Racket is okay but strings are weak."
R0112,O0112,U0253,P0016,2026-05-05,4,"Pan is lightweight and easy to clean."
R0113,O0113,U0134,P0199,2026-05-06,5,"Book is a great learning resource."
R0114,O0114,U0198,P0120,2026-05-06,4,"Monitor has nice resolution."
R0115,O0115,U0211,P0158,2026-05-07,, 
R0116,O0116,U0271,P0043,2026-05-07,5,"Eyeliner is smooth and long-lasting."
R0117,O0117,U0145,P0172,2026-05-08,5,"Football quality is excellent."
R0118,O0118,U0297,P0057,2026-05-09,4,"Laptop performs well."
R0119,O0119,U0118,P0090,2026-05-10,5,"Pendrive is very fast."
R0120,O0120,U0231,P0138,2026-05-10,3,"Cooler is average, makes noise."
R0121,O0121,U0170,P0165,2026-05-11,5,"Aloe vera gel works wonders!"
R0122,O0122,U0215,P0086,2026-05-12,4,"Printer ink lasts long."
R0123,O0123,U0268,P0024,2026-05-13,3,"Headphones are okay, not loud."
R0124,O0124,U0194,P0195,2026-05-13,, 
R0125,O0125,U0152,P0067,2026-05-14,5,"Microwave heats quickly."
R0126,O0126,U0280,P0111,2026-05-14,4,"Laptop works smoothly."
R0127,O0127,U0124,P0038,2026-05-15,5,"Washing machine is powerful."
R0128,O0128,U0204,P0144,2026-05-15,5,"Hitachi AC cools quickly."
R0129,O0129,U0164,P0071,2026-05-16,4,"Dishwasher cleans well."
R0130,O0130,U0306,P0197,2026-05-16,3,"Book is informative but heavy."
R0131,O0131,U0183,P0109,2026-05-17,5,"Phone is very responsive."
R0132,O0132,U0223,P0152,2026-05-18,4,"Joggers are very comfortable."
R0133,O0133,U0146,P0082,2026-05-18,5,"Gaming laptop is excellent."
R0134,O0134,U0273,P0047,2026-05-19,4,"Yoga mat is comfortable."
R0135,O0135,U0114,P0127,2026-05-19,, 
R0136,O0136,U0250,P0030,2026-05-20,5,"Water bottle is durable."
R0137,O0137,U0179,P0198,2026-05-21,4,"Great business book."
R0138,O0138,U0238,P0059,2026-05-21,5,"Smartwatch has great battery life."
R0139,O0139,U0199,P0155,2026-05-22,3,"Tank top is average."
R0140,O0140,U0283,P0132,2026-05-23,5,"Sewing machine works smoothly."
R0141,O0141,U0162,P0023,2026-05-24,5,"Smartwatch is great for fitness tracking."
R0142,O0142,U0228,P0176,2026-05-24,4,"Shuttlecock pack is good."
R0143,O0143,U0274,P0095,2026-05-25,5,"Gaming phone performance is excellent."
R0144,O0144,U0128,P0137,2026-05-25,3,"Pressure cooker is average."
R0145,O0145,U0184,P0182,2026-05-26,5,"Trekking shoes are very sturdy."
R0146,O0146,U0296,P0062,2026-05-27,4,"Speaker sound is clear."
R0147,O0147,U0136,P0116,2026-05-27,5,"MacBook Pro is worth the price."
R0148,O0148,U0219,P0041,2026-05-28,3,"Toothpaste is okay."
R0149,O0149,U0264,P0150,2026-05-28,, 
R0150,O0150,U0193,P0075,2026-05-29,5,"Table fan works well."
R0151,O0151,U0117,P0192,2026-05-30,5,"Book is very helpful."
R0152,O0152,U0206,P0168,2026-05-31,4,"Conditioner is nice."
R0153,O0153,U0148,P0105,2026-06-01,5,"Tablet runs smoothly."
R0154,O0154,U0291,P0026,2026-06-02,3,"Football is average."
R0155,O0155,U0240,P0184,2026-06-03,, 
R0156,O0156,U0176,P0036,2026-06-04,4,"Sneakers are comfortable."
R0157,O0157,U0232,P0149,2026-06-05,5,"AC is powerful and quiet."
R0158,O0158,U0197,P0088,2026-06-05,5,"Camera quality is stunning."
R0159,O0159,U0279,P0125,2026-06-06,4,"OLED TV has beautiful display."
R0160,O0160,U0130,P0160,2026-06-07,3,"Jacket quality is okay."
R0161,O0161,U0210,P0072,2026-06-07,5,"Kettle is compact and efficient."
R0162,O0162,U0281,P0196,2026-06-08,5,"Book is a classic, must-read."
R0163,O0163,U0153,P0051,2026-06-09,4,"Treadmill works perfectly."
R0164,O0164,U0189,P0179,2026-06-09,3,"Swim cap is okay."
R0165,O0165,U0267,P0042,2026-06-10,, 
R0166,O0166,U0121,P0113,2026-06-11,5,"Tablet is smooth for browsing."
R0167,O0167,U0190,P0136,2026-06-12,4,"Cooktop heats quickly."
R0168,O0168,U0235,P0093,2026-06-13,5,"SSD is very fast."
R0169,O0169,U0161,P0174,2026-06-14,4,"Gloves are sturdy."
R0170,O0170,U0309,P0012,2026-06-14,5,"Hair dryer works great."
R0171,O0171,U0142,P0154,2026-06-15,3,"Shorts are average."
R0172,O0172,U0203,P0084,2026-06-15,4,"Keyboard is smooth."
R0173,O0173,U0255,P0180,2026-06-16,5,"Gym bag is stylish."
R0174,O0174,U0132,P0074,2026-06-17,3,"Fan makes some noise."
R0175,O0175,U0172,P0103,2026-06-18,5,"Tablet is excellent."
R0176,O0176,U0295,P0162,2026-06-18,4,"Mascara lasts long."
R0177,O0177,U0221,P0069,2026-06-19,, 
R0178,O0178,U0113,P0124,2026-06-20,5,"TV is amazing quality."
R0179,O0179,U0192,P0020,2026-06-20,4,"E-reader is very handy."
R0180,O0180,U0269,P0177,2026-06-21,5,"TT bat is strong."
R0181,O0181,U0157,P0039,2026-06-22,4,"Fridge works perfectly."
R0182,O0182,U0188,P0135,2026-06-23,3,"Stove is okay."
R0183,O0183,U0245,P0099,2026-06-23,5,"Phone is good value for money."
R0184,O0184,U0127,P0166,2026-06-24,5,"Sunscreen works well."
R0185,O0185,U0205,P0010,2026-06-24,4,"Shampoo smells nice."
R0186,O0186,U0293,P0183,2026-06-25,3,"Sleeping bag is okay."
R0187,O0187,U0143,P0053,2026-06-26,5,"Shirt fabric is good."
R0188,O0188,U0218,P0104,2026-06-27,4,"Tablet is handy for kids."
R0189,O0189,U0168,P0120,2026-06-28,5,"Monitor is very crisp."
R0190,O0190,U0277,P0172,2026-06-28,, 
R0191,O0191,U0150,P0032,2026-06-29,4,"PlayStation is fun."
R0192,O0192,U0195,P0140,2026-06-29,5,"AC is cooling perfectly."
R0193,O0193,U0242,P0067,2026-06-30,3,"Microwave is average."
R0194,O0194,U0139,P0194,2026-07-01,5,"Book is very motivating."
R0195,O0195,U0216,P0079,2026-07-01,4,"Mixer grinder is good."
R0196,O0196,U0285,P0153,2026-07-02,5,"Hoodie is stylish."
R0197,O0197,U0171,P0028,2026-07-03,4,"Sunglasses are trendy."
R0198,O0198,U0222,P0129,2026-07-04,5,"TV quality is top-notch."
R0199,O0199,U0115,P0040,2026-07-05,3,"Tea is okay."
R0200,O0200,U0303,P0189,2026-07-05,, 
R0201,O0201,U0181,P0115,2026-07-06,5,"Laptop is very efficient."
R0202,O0202,U0120,P0061,2026-07-06,4,"Headphones are clear."
R0203,O0203,U0290,P0092,2026-07-07,5,"Hard drive is fast."
R0204,O0204,U0158,P0175,2026-07-08,4,"Cricket bat is strong."
R0205,O0205,U0208,P0087,2026-07-08,3,"Printer is okay."
R0206,O0206,U0233,P0018,2026-07-09,5,"Laptop runs smoothly."
R0207,O0207,U0272,P0130,2026-07-09,4,"TV looks great."
R0208,O0208,U0163,P0169,2026-07-10,5,"Shampoo is good quality."
R0209,O0209,U0196,P0034,2026-07-10,4,"Watch looks elegant."
R0210,O0210,U0251,P0100,2026-07-11,5,"Phone is sleek and fast."
R0211,O0211,U0149,P0022,2026-07-11,5,"Study desk is sturdy."
R0212,O0212,U0214,P0157,2026-07-12,4,"Blazer looks very professional."
R0213,O0213,U0260,P0048,2026-07-12,5,"Cricket bat is excellent quality."
R0214,O0214,U0187,P0198,2026-07-13,5,"Startup book is insightful."
R0215,O0215,U0135,P0097,2026-07-14,4,"Phone works very well."
R0216,O0216,U0298,P0073,2026-07-14,3,"Iron is average."
R0217,O0217,U0167,P0192,2026-07-15,5,"Atomic Habits is life changing."
R0218,O0218,U0229,P0164,2026-07-15,4,"Face wash is refreshing."
R0219,O0219,U0275,P0064,2026-07-16,5,"Noise cancellation is great."
R0220,O0220,U0112,P0185,2026-07-17,4,"Helmet is sturdy."
R0221,O0221,U0199,P0108,2026-07-18,5,"Phone performance is flawless."
R0222,O0222,U0256,P0123,2026-07-18,3,"Monitor is okay."
R0223,O0223,U0177,P0134,2026-07-19,5,"Mixer grinder is powerful."
R0224,O0224,U0230,P0170,2026-07-20,4,"Toothpaste is good."
R0225,O0225,U0151,P0081,2026-07-20,5,"Laptop works great."
R0226,O0226,U0213,P0052,2026-07-21,3,"Shorts are okay."
R0227,O0227,U0282,P0015,2026-07-21,5,"Tennis racquet is superb."
R0228,O0228,U0131,P0197,2026-07-22,4,"History book is excellent."
R0229,O0229,U0202,P0077,2026-07-23,5,"Lunch box is handy."
R0230,O0230,U0141,P0161,2026-07-23,, 
R0231,O0231,U0304,P0141,2026-07-24,4,"AC cools efficiently."
R0232,O0232,U0182,P0025,2026-07-25,5,"Camera quality is outstanding."
R0233,O0233,U0266,P0044,2026-07-25,4,"LED bulbs are bright."
R0234,O0234,U0122,P0178,2026-07-26,5,"TT table is excellent."
R0235,O0235,U0194,P0106,2026-07-27,3,"Kids Kindle is okay."
R0236,O0236,U0237,P0089,2026-07-27,5,"Drone flies smoothly."
R0237,O0237,U0155,P0128,2026-07-28,4,"TV picture is sharp."
R0238,O0238,U0217,P0199,2026-07-28,5,"Book teaches Python basics."
R0239,O0239,U0278,P0037,2026-07-29,4,"Grinder works perfectly."
R0240,O0240,U0119,P0143,2026-07-29,, 
R0241,O0241,U0175,P0054,2026-07-30,5,"Dress is very stylish."
R0242,O0242,U0234,P0091,2026-07-31,4,"External HDD is fast."
R0243,O0243,U0160,P0187,2026-08-01,5,"Boxing gloves are durable."
R0244,O0244,U0125,P0029,2026-08-02,3,"Blender is noisy."
R0245,O0245,U0209,P0114,2026-08-02,5,"Laptop performance is great."
R0246,O0246,U0259,P0151,2026-08-03,4,"Sports T-shirt is comfy."
R0247,O0247,U0183,P0068,2026-08-04,5,"Cooker is useful."
R0248,O0248,U0144,P0139,2026-08-05,4,"Water purifier is clean and efficient."
R0249,O0249,U0212,P0165,2026-08-05,3,"Gel is okay."
R0250,O0250,U0294,P0017,2026-08-06,5,"Echo Dot is very handy."
R0251,O0251,U0159,P0175,2026-08-06,4,"Cricket bat is powerful."
R0252,O0252,U0227,P0102,2026-08-07,5,"iPad is very smooth."
R0253,O0253,U0270,P0031,2026-08-08,4,"Camera clicks sharp pictures."
R0254,O0254,U0137,P0189,2026-08-08,5,"Tennis balls are good."
R0255,O0255,U0191,P0078,2026-08-09,3,"Grinder is average."
R0256,O0256,U0263,P0195,2026-08-10,5,"Motivational book is inspiring."
R0257,O0257,U0123,P0045,2026-08-10,4,"Ceiling fan is good."
R0258,O0258,U0173,P0167,2026-08-11,5,"Deodorant smells fresh."
R0259,O0259,U0238,P0083,2026-08-12,4,"Mouse is very responsive."
R0260,O0260,U0156,P0117,2026-08-12,, 
R0261,O0261,U0207,P0142,2026-08-13,5,"AC cools room quickly."
R0262,O0262,U0252,P0021,2026-08-14,4,"Chair is comfortable."
R0263,O0263,U0198,P0190,2026-08-14,5,"Shoes are very durable."
R0264,O0264,U0140,P0076,2026-08-15,3,"Stove is okay."
R0265,O0265,U0211,P0133,2026-08-15,5,"Air fryer is great."
R0266,O0266,U0111,P0166,2026-08-16,4,"Sunscreen works well."
R0267,O0267,U0271,P0050,2026-08-16,5,"Swimming goggles are great."
R0268,O0268,U0129,P0186,2026-08-17,4,"Volleyball is nice."
R0269,O0269,U0196,P0109,2026-08-18,5,"Phone is very responsive."
R0270,O0270,U0236,P0049,2026-08-18,, 
R0271,O0271,U0178,P0159,2026-08-19,5,"Tie is elegant."
R0272,O0272,U0225,P0080,2026-08-20,4,"Speaker sound is good."
R0273,O0273,U0299,P0126,2026-08-20,5,"Smart TV is amazing."
R0274,O0274,U0133,P0027,2026-08-21,4,"Shoes are comfortable."
R0275,O0275,U0204,P0193,2026-08-22,5,"Book is very informative."
R0276,O0276,U0165,P0059,2026-08-23,3,"Smartwatch is average."
R0277,O0277,U0254,P0110,2026-08-23,5,"Phone is great for daily use."
R0278,O0278,U0180,P0131,2026-08-24,4,"Heater warms room quickly."
R0279,O0279,U0128,P0179,2026-08-25,5,"Swim cap is durable."
R0280,O0280,U0218,P0065,2026-08-26,4,"AirPods are excellent."
R0281,O0281,U0174,P0096,2026-08-26,5,"Phone is fast and reliable."
R0282,O0282,U0231,P0047,2026-08-27,4,"Yoga mat is good quality."
R0283,O0283,U0124,P0199,2026-08-28,5,"Python book is very useful."
R0284,O0284,U0200,P0152,2026-08-28,3,"Joggers are average."
R0285,O0285,U0257,P0070,2026-08-29,4,"Fridge works fine."
R0286,O0286,U0146,P0176,2026-08-29,5,"Shuttlecock quality is great."
R0287,O0287,U0297,P0101,2026-08-30,5,"Tablet has sharp display."
R0288,O0288,U0186,P0063,2026-08-31,4,"Headphones sound is clear."
R0289,O0289,U0224,P0138,2026-08-31,5,"Air cooler works great."
R0290,O0290,U0166,P0162,2026-09-01,, 
R0291,O0291,U0118,P0191,2026-09-02,5,"Book is inspiring."
R0292,O0292,U0276,P0085,2026-09-03,4,"Printer quality is good."
R0293,O0293,U0215,P0024,2026-09-04,5,"Headphones sound great."
R0294,O0294,U0152,P0156,2026-09-05,4,"Jacket looks stylish."
R0295,O0295,U0190,P0121,2026-09-05,5,"Monitor resolution is excellent."
R0296,O0296,U0261,P0181,2026-09-06,4,"Tent is very spacious."
R0297,O0297,U0138,P0055,2026-09-07,5,"Hoodie is comfortable."
R0298,O0298,U0201,P0071,2026-09-07,3,"Dishwasher is okay."
R0299,O0299,U0250,P0168,2026-09-08,4,"Conditioner is nice."
R0300,O0300,U0170,P0119,2026-09-09,5,"Monitor is bright."
R0301,O0301,U0239,P0195,2026-09-09,4,"Book is motivational."
R0302,O0302,U0126,P0035,2026-09-10,5,"Backpack is lightweight."
R0303,O0303,U0219,P0144,2026-09-11,3,"AC is okay."
R0304,O0304,U0185,P0029,2026-09-12,5,"Blender is great for smoothies."
R0305,O0305,U0292,P0177,2026-09-12,4,"TT bat is durable."
R0306,O0306,U0154,P0107,2026-09-13,5,"Pixel phone is excellent."
R0307,O0307,U0209,P0066,2026-09-14,4,"Kindle is easy to use."
R0308,O0308,U0243,P0190,2026-09-15,5,"Shoes are very durable."
R0309,O0309,U0164,P0046,2026-09-15,3,"Gas stove is average."
R0310,O0310,U0273,P0132,2026-09-16,5,"Sewing machine works well."
R0311,O0311,U0147,P0184,2026-09-17,4,"Skipping rope is fine."
R0312,O0312,U0226,P0090,2026-09-17,5,"Pendrive is fast."
R0313,O0313,U0189,P0169,2026-09-18,3,"Shampoo is average."
R0314,O0314,U0258,P0118,2026-09-19,5,"Laptop is smooth."
R0315,O0315,U0134,P0086,2026-09-19,4,"Printer is efficient."
R0316,O0316,U0193,P0196,2026-09-20,5,"Book is insightful."
R0317,O0317,U0284,P0019,2026-09-20,4,"MacBook Air is excellent."
R0318,O0318,U0150,P0155,2026-09-21,5,"Tank top is stylish."
R0319,O0319,U0210,P0127,2026-09-22,3,"TV is average."
R0320,O0320,U0116,P0079,2026-09-23,5,"Rice cooker is great."
R0321,O0321,U0246,P0171,2026-09-23,4,"Yoga mat is comfortable."
R0322,O0322,U0169,P0105,2026-09-24,5,"Tablet runs very fast."
R0323,O0323,U0220,P0137,2026-09-25,3,"Cooker is average."
R0324,O0324,U0280,P0194,2026-09-25,5,"Book is very motivational."
R0325,O0325,U0129,P0056,2026-09-26,4,"Laptop is reliable."
R0326,O0326,U0192,P0160,2026-09-27,5,"Jacket fits perfectly."
R0327,O0327,U0253,P0098,2026-09-28,4,"Phone is sleek."
R0328,O0328,U0148,P0021,2026-09-28,, 
R0329,O0329,U0216,P0111,2026-09-29,5,"Laptop is worth the price."
R0330,O0330,U0179,P0082,2026-09-29,4,"Gaming laptop is powerful."
R0331,O0331,U0232,P0183,2026-09-30,5,"Sleeping bag is warm."
R0332,O0332,U0132,P0043,2026-10-01,3,"Eyeliner is okay."
R0333,O0333,U0206,P0122,2026-10-01,5,"Curved monitor is excellent."
R0334,O0334,U0265,P0179,2026-10-02,4,"Swim cap fits well."
R0335,O0335,U0114,P0060,2026-10-02,5,"Smartwatch works fine."
R0336,O0336,U0158,P0145,2026-10-03,4,"AC is efficient."
R0337,O0337,U0228,P0094,2026-10-03,5,"RAM stick is fast."
R0338,O0338,U0197,P0158,2026-10-04,3,"Shirt is average."
R0339,O0339,U0287,P0013,2026-10-04,5,"Basketball is durable."
R0340,O0340,U0142,P0182,2026-10-05,4,"Trekking shoes are good."
R0341,O0341,U0202,P0100,2026-10-06,5,"Phone is amazing."
R0342,O0342,U0255,P0038,2026-10-07,4,"Washing machine is efficient."
R0343,O0343,U0176,P0163,2026-10-07,5,"Foundation works well."
R0344,O0344,U0213,P0075,2026-10-08,3,"Table fan is okay."
R0345,O0345,U0121,P0198,2026-10-08,5,"Startup book is very useful."
R0346,O0346,U0268,P0057,2026-10-09,4,"Laptop runs smoothly."
R0347,O0347,U0199,P0148,2026-10-09,5,"AC is excellent."
R0348,O0348,U0244,P0020,2026-10-10,4,"Kindle is handy."
R0349,O0349,U0163,P0188,2026-10-10,5,"Racket is strong."
R0350,O0350,U0300,P0136,2026-10-11,3,"Cooktop is average."
R0351,O0351,U0222,P0072,2026-10-11,5,"Kettle heats water quickly."
R0352,O0352,U0181,P0166,2026-10-12,4,"Sunscreen protects well."
R0353,O0353,U0113,P0084,2026-10-13,5,"Keyboard is very responsive."
R0354,O0354,U0205,P0192,2026-10-13,5,"Atomic Habits is an amazing read."
R0355,O0355,U0251,P0103,2026-10-14,4,"Tablet works fine."
R0356,O0356,U0171,P0042,2026-10-15,3,"Face wash is average."
R0357,O0357,U0136,P0147,2026-10-15,5,"AC cools well."
R0358,O0358,U0217,P0026,2026-10-16,4,"Football is durable."
R0359,O0359,U0286,P0180,2026-10-16,5,"Gym bag is spacious."
R0360,O0360,U0157,P0092,2026-10-17,3,"Hard drive is okay."
R0361,O0361,U0208,P0174,2026-10-18,5,"Gloves fit perfectly."
R0362,O0362,U0127,P0062,2026-10-19,4,"Speaker sound is clear."
R0363,O0363,U0195,P0193,2026-10-19,5,"Finance book is helpful."
R0364,O0364,U0277,P0130,2026-10-20,4,"TV picture quality is good."
R0365,O0365,U0145,P0112,2026-10-20,3,"Laptop is average."
R0366,O0366,U0235,P0058,2026-10-21,5,"Smart TV display is sharp."
R0367,O0367,U0161,P0169,2026-10-21,4,"Shampoo is refreshing."
R0368,O0368,U0221,P0018,2026-10-22,5,"Laptop is excellent."
R0369,O0369,U0184,P0140,2026-10-22,4,"AC cools very fast."
R0370,O0370,U0115,P0187,2026-10-23,3,"Boxing gloves are average."
R0371,O0371,U0256,P0125,2026-10-23,5,"TV is crystal clear."
R0372,O0372,U0139,P0074,2026-10-24,4,"Fan is decent."
R0373,O0373,U0214,P0190,2026-10-24,5,"Shoes are high quality."
R0374,O0374,U0172,P0041,2026-10-25,3,"Toothpaste is okay."
R0375,O0375,U0233,P0095,2026-10-25,5,"Gaming phone is powerful."
R0376,O0376,U0296,P0165,2026-10-26,4,"Aloe vera gel is soothing."
R0377,O0377,U0143,P0028,2026-10-27,5,"Sunglasses are stylish."
R0378,O0378,U0203,P0154,2026-10-27,3,"Shorts are average."
R0379,O0379,U0272,P0120,2026-10-28,5,"Monitor is clear."
R0380,O0380,U0162,P0198,2026-10-29,4,"Startup book is practical."
R0381,O0381,U0110,P0087,2026-10-29,5,"Printer is reliable."
R0382,O0382,U0188,P0030,2026-10-30,3,"Water bottle is okay."
R0383,O0383,U0259,P0172,2026-10-31,5,"Football quality is excellent."
R0384,O0384,U0227,P0104,2026-10-31,4,"Tablet works smoothly."
R0385,O0385,U0120,P0146,2026-11-01,5,"AC cools room efficiently."
