ProductID,ProductName,Category,Price
P0162,Maybelline Mascara,Beauty,449
P0163,L’Oreal Foundation,Beauty,749
P0164,Himalaya Neem Face Wash,Beauty,199
P0165,Patanjali Aloe Vera Gel,Beauty,149
P0166,Lotus Sunscreen SPF 50,Beauty,499
P0167,Nivea Deodorant,Beauty,249
P0168,Dove Hair Conditioner,Beauty,349
P0169,Head & Shoulders Shampoo,Beauty,399
P0170,Colgate MaxFresh Toothpaste,Beauty,199
P0171,Yoga Mat Pro,Sports,1499
P0172,Adidas Football,Sports,2999
P0173,Nike Basketball,Sports,2599
P0174,SS Cricket Gloves,Sports,1999
P0175,Kookaburra Cricket Bat,Sports,7999
P0176,Yonex Shuttlecock Pack,Sports,699
P0177,Butterfly Table Tennis Bat,Sports,1599
P0178,Stag TT Table,Sports,24999
P0179,Speedo Swim Cap,Sports,499
P0180,Reebok Gym Bag,Sports,2999
P0181,Camping Tent 4-Person,Sports,9999
P0182,Wildcraft Trekking Shoes,Sports,5499
P0183,Decathlon Sleeping Bag,Sports,2999
P0184,Nivia Skipping Rope,Sports,299
P0185,SG Cricket Helmet,Sports,3499
P0186,Spalding Volleyball,Sports,1899
P0187,Everlast Boxing Gloves,Sports,4999
P0188,Li-Ning Badminton Racket,Sports,3999
P0189,Wilson Tennis Balls Pack,Sports,899
P0190,Slazenger Tennis Shoes,Sports,5499
P0191,The Alchemist,Books,399
P0192,Atomic Habits,Books,499
P0193,Rich Dad Poor Dad,Books,399
P0194,Ikigai,Books,449
P0195,Think and Grow Rich,Books,349
P0196,The Power of Subconscious Mind,Books,299
P0197,Sapiens: A Brief History,Books,599
P0198,The Lean Startup,Books,549
P0199,Python Crash Course,Books,699
P0200,Data Science from Scratch,Books,899
