 OrderID,UserID,ProductID,Quantity,OrderDate,ReviewRating,OrderAmount,Price_x,Price_y,TotalAmount,Price
O0031,U0015,P0006,2,2024-02-12 12:22:00,3,7998,3999,3999,7998,3999
O0032,U0207,P0151,1,2024-02-13 19:38:00,4,1999,1999,1999,1999,1999
O0033,U0310,P0137,1,2024-02-14 13:14:00,5,2999,2999,2999,2999,2999
O0034,U0025,P0008,1,2024-02-15 20:55:00,5,32999,32999,32999,32999,32999
O0035,U0463,P0055,2,2024-02-16 09:31:00,4,4598,2299,2299,4598,2299
O0036,U0371,P0095,1,2024-02-17 15:42:00,5,57999,57999,57999,57999,57999
O0037,U0264,P0022,1,2024-02-18 10:50:00,4,8999,8999,8999,8999,8999
O0038,U0117,P0073,2,2024-02-19 18:47:00,5,2998,1499,1499,2998,1499
O0039,U0488,P0159,3,2024-02-20 11:23:00,4,2997,999,999,2997,999
O0040,U0306,P0195,1,2024-02-21 14:59:00,5,349,349,349,349,349
O0041,U0122,P0124,1,2024-02-22 10:31:00,5,104999,104999,104999,104999,104999
O0042,U0258,P0042,2,2024-02-22 16:12:00,4,398,199,199,398,199
O0043,U0079,P0132,1,2024-02-23 19:25:00,4,7999,7999,7999,7999,7999
O0044,U0347,P0198,1,2024-02-24 09:40:00,5,549,549,549,549,549
O0045,U0173,P0058,1,2024-02-25 13:56:00,4,42999,42999,42999,42999,42999
O0046,U0224,P0161,3,2024-02-26 20:03:00,5,1797,599,599,1797,599
O0047,U0369,P0090,2,2024-02-27 11:47:00,5,2598,1299,1299,2598,1299
O0048,U0084,P0145,1,2024-02-28 14:22:00,4,31999,31999,31999,31999,31999
O0049,U0456,P0180,1,2024-02-28 18:33:00,5,2999,2999,2999,2999,2999
O0050,U0095,P0023,2,2024-03-01 12:41:00,4,5998,2999,2999,5998,2999
O0051,U0281,P0182,1,2024-03-02 16:08:00,5,5499,5499,5499,5499,5499
O0052,U0434,P0044,3,2024-03-03 09:30:00,4,2997,999,999,2997,999
O0053,U0141,P0174,2,2024-03-03 20:17:00,4,3998,1999,1999,3998,1999
O0054,U0213,P0111,1,2024-03-04 13:02:00,5,39999,39999,39999,39999,39999
O0055,U0460,P0197,1,2024-03-05 18:12:00,5,599,599,599,599,599
O0056,U0028,P0035,2,2024-03-06 10:45:00,4,3998,1999,1999,3998,1999
O0057,U0129,P0125,1,2024-03-07 15:23:00,5,96999,96999,96999,96999,96999
O0058,U0388,P0080,2,2024-03-08 19:59:00,4,3198,1599,1599,3198,1599
O0059,U0472,P0163,1,2024-03-09 11:37:00,5,749,749,749,749,749
O0060,U0251,P0009,1,2024-03-10 09:14:00,4,6499,6499,6499,6499,6499
O0061,U0057,P0025,1,2024-03-11 20:01:00,5,38999,38999,38999,38999,38999
O0062,U0405,P0091,1,2024-03-12 14:32:00,5,3999,3999,3999,3999,3999
O0063,U0176,P0078,1,2024-03-13 08:25:00,4,4299,4299,4299,4299,4299
O0064,U0332,P0107,1,2024-03-14 17:46:00,5,57999,57999,57999,57999,57999
O0065,U0468,P0068,2,2024-03-15 10:39:00,4,4998,2499,2499,4998,2499
O0066,U0159,P0187,1,2024-03-16 15:20:00,5,4999,4999,4999,4999,4999
O0067,U0275,P0196,2,2024-03-17 20:15:00,5,598,299,299,598,299
O0068,U0203,P0012,1,2024-03-18 09:09:00,4,1999,1999,1999,1999,1999
O0069,U0447,P0162,3,2024-03-19 18:53:00,5,1347,449,449,1347,449
O0070,U0185,P0046,1,2024-03-20 12:41:00,4,7999,7999,7999,7999,7999
O0071,U0327,P0135,2,2024-03-21 16:17:00,4,12998,6499,6499,12998,6499
O0072,U0192,P0118,1,2024-03-22 08:26:00,5,74999,74999,74999,74999,74999
O0073,U0229,P0170,1,2024-03-23 13:58:00,5,199,199,199,199,199
O0074,U0296,P0181,1,2024-03-24 19:12:00,5,9999,9999,9999,9999,9999
O0075,U0411,P0066,1,2024-03-25 14:22:00,4,18999,18999,18999,18999,18999
O0076,U0119,P0131,1,2024-03-26 09:41:00,5,2999,2999,2999,2999,2999
O0077,U0398,P0014,2,2024-03-27 15:10:00,4,4998,2499,2499,4998,2499
O0078,U0289,P0056,1,2024-03-28 20:04:00,5,55999,55999,55999,55999,55999
O0079,U0102,P0129,1,2024-03-29 11:28:00,4,35999,35999,35999,35999,35999
O0080,U0437,P0019,1,2024-03-30 18:11:00,5,99999,99999,99999,99999,99999
O0081,U0215,P0199,2,2024-04-01 09:12:00,5,1398,699,699,1398,699
O0082,U0344,P0156,1,2024-04-02 12:50:00,4,3499,3499,3499,3499,3499
O0083,U0068,P0041,4,2024-04-03 15:33:00,5,996,249,249,996,249
O0084,U0259,P0130,1,2024-04-04 20:47:00,4,44999,44999,44999,44999,44999
O0085,U0390,P0175,1,2024-04-05 10:26:00,5,7999,7999,7999,7999,7999
O0086,U0483,P0087,1,2024-04-06 19:09:00,5,8999,8999,8999,8999,8999
O0087,U0138,P0144,1,2024-04-07 13:56:00,4,61999,61999,61999,61999,61999
O0088,U0091,P0064,1,2024-04-08 09:30:00,5,24999,24999,24999,24999,24999
O0089,U0178,P0020,1,2024-04-09 16:21:00,4,12999,12999,12999,12999,12999
O0090,U0362,P0108,1,2024-04-10 19:40:00,5,56999,56999,56999,56999,56999
O0091,U0423,P0190,2,2024-04-11 08:39:00,4,10998,5499,5499,10998,5499
O0092,U0235,P0001,1,2024-04-12 11:22:00,5,18999,18999,18999,18999,18999
O0093,U0308,P0172,1,2024-04-13 14:37:00,5,2999,2999,2999,2999,2999
O0094,U0049,P0052,2,2024-04-14 18:05:00,4,4998,2499,2499,4998,2499
O0095,U0459,P0169,1,2024-04-15 09:11:00,5,399,399,399,399,399
O0096,U0273,P0039,1,2024-04-16 12:55:00,5,29999,29999,29999,29999,29999
O0097,U0380,P0123,1,2024-04-17 16:44:00,4,21999,39999,39999,39999,39999
O0098,U0081,P0075,1,2024-04-18 20:19:00,4,1799,1799,1799,1799,1799
O0099,U0116,P0194,1,2024-04-19 10:03:00,5,449,449,449,449,449
O0100,U0475,P0086,1,2024-04-20 15:22:00,5,14999,14999,14999,14999,14999
O0101,U0027,P0043,1,2024-04-21 11:15:00,4,349,349,349,349,349
O0102,U0417,P0097,1,2024-04-21 18:32:00,5,27999,27999,27999,27999,27999
O0103,U0290,P0063,1,2024-04-22 10:08:00,5,8999,8999,8999,8999,8999
O0104,U0145,P0188,2,2024-04-22 16:44:00,4,7998,3999,3999,7998,3999
O0105,U0364,P0009,1,2024-04-23 09:11:00,4,6499,6499,6499,6499,6499
O0106,U0114,P0155,3,2024-04-23 19:58:00,5,4797,1599,1599,4797,1599
O0107,U0239,P0085,1,2024-04-24 13:22:00,5,12999,12999,12999,12999,12999
O0108,U0470,P0016,1,2024-04-25 17:10:00,4,1599,1599,1599,1599,1599
O0109,U0174,P0177,2,2024-04-26 11:37:00,5,3198,1599,1599,3198,1599
O0110,U0401,P0192,1,2024-04-27 15:43:00,5,499,499,499,499,499
O0111,U0278,P0120,1,2024-04-28 12:27:00,5,13999,13999,13999,13999,13999
O0112,U0086,P0167,1,2024-04-28 20:09:00,4,249,249,249,249,249
O0113,U0221,P0038,1,2024-04-29 09:51:00,5,25999,25999,25999,25999,25999
O0114,U0335,P0141,1,2024-04-29 18:24:00,5,34999,34999,34999,34999,34999
O0115,U0097,P0189,1,2024-04-30 10:38:00,4,899,899,899,899,899
O0116,U0469,P0013,2,2024-04-30 15:56:00,5,2998,1499,1499,2998,1499
O0117,U0208,P0074,1,2024-05-01 09:13:00,4,2599,2599,2599,2599,2599
O0118,U0378,P0127,1,2024-05-01 19:40:00,5,28999,28999,28999,28999,28999
O0119,U0243,P0165,2,2024-05-02 13:27:00,5,298,149,149,298,149
O0120,U0321,P0138,1,2024-05-02 20:55:00,4,12999,12999,12999,12999,12999
O0121,U0103,P0191,1,2024-05-03 09:36:00,5,399,399,399,399,399
O0122,U0262,P0001,1,2024-05-03 14:44:00,5,18999,18999,18999,18999,18999
O0123,U0125,P0110,1,2024-05-04 11:52:00,4,16999,16999,16999,16999,16999
O0124,U0430,P0084,1,2024-05-05 17:15:00,5,2499,2499,2499,2499,2499
O0125,U0187,P0062,1,2024-05-06 09:48:00,4,6999,6999,6999,6999,6999
O0126,U0351,P0178,1,2024-05-06 19:26:00,5,24999,24999,24999,24999,24999
O0127,U0072,P0199,2,2024-05-07 13:02:00,5,1398,699,699,1398,699
O0128,U0395,P0152,1,2024-05-08 10:17:00,4,2499,2499,2499,2499,2499
O0129,U0149,P0183,1,2024-05-08 20:49:00,5,2999,2999,2999,2999,2999
O0130,U0230,P0012,1,2024-05-09 14:28:00,5,1999,1999,1999,1999,1999
O0131,U0428,P0143,1,2024-05-10 16:19:00,4,41999,41999,41999,41999,41999
O0132,U0284,P0176,2,2024-05-11 09:12:00,5,1398,699,699,1398,699
O0133,U0096,P0037,1,2024-05-11 18:03:00,4,5999,5999,5999,5999,5999
O0134,U0368,P0199,1,2024-05-12 12:31:00,5,699,699,699,699,699
O0135,U0118,P0020,1,2024-05-13 09:52:00,4,12999,12999,12999,12999,12999
O0136,U0256,P0105,1,2024-05-14 17:46:00,5,28999,28999,28999,28999,28999
O0137,U0441,P0045,1,2024-05-15 13:10:00,5,3499,3499,3499,3499,3499
O0138,U0171,P0186,1,2024-05-15 20:21:00,4,1899,1899,1899,1899,1899
O0139,U0054,P0136,1,2024-05-16 09:25:00,5,3499,3499,3499,3499,3499
O0140,U0303,P0021,1,2024-05-17 11:14:00,4,5999,5999,5999,5999,5999
O0141,U0479,P0019,1,2024-05-18 19:42:00,5,99999,99999,99999,99999,99999
O0142,U0225,P0067,1,2024-05-19 12:35:00,4,10999,10999,10999,10999,10999
O0143,U0342,P0128,1,2024-05-20 14:28:00,5,15999,15999,15999,15999,15999
O0144,U0409,P0050,1,2024-05-20 20:53:00,4,799,799,799,799,799
O0145,U0194,P0104,1,2024-05-21 09:15:00,5,12999,12999,12999,12999,12999
O0146,U0248,P0139,1,2024-05-22 18:34:00,5,15999,15999,15999,15999,15999
O0147,U0319,P0173,1,2024-05-23 10:29:00,4,2599,2599,2599,2599,2599
O0148,U0070,P0158,2,2024-05-23 15:46:00,5,2998,1499,1499,2998,1499
O0149,U0452,P0029,1,2024-05-24 19:11:00,5,17999,17999,17999,17999,17999
O0150,U0286,P0002,1,2024-05-25 11:03:00,5,69999,69999,69999,69999,69999
O0151,U0106,P0184,2,2024-05-25 16:39:00,4,598,299,299,598,299
O0152,U0161,P0149,1,2024-05-26 09:41:00,4,47999,47999,47999,47999,47999
O0153,U0219,P0017,1,2024-05-27 20:22:00,5,4499,4499,4499,4499,4499
O0154,U0439,P0166,1,2024-05-28 12:36:00,5,499,499,499,499,499
O0155,U0124,P0036,1,2024-05-28 19:58:00,4,6499,6499,6499,6499,6499
O0156,U0271,P0115,1,2024-05-29 10:47:00,5,84999,84999,84999,84999,84999
O0157,U0063,P0185,1,2024-05-30 15:03:00,4,3499,3499,3499,3499,3499
O0158,U0357,P0093,1,2024-05-30 19:55:00,5,8999,8999,8999,8999,8999
O0159,U0137,P0122,1,2024-05-31 09:12:00,4,21999,21999,21999,21999,21999
O0160,U0426,P0005,1,2024-05-31 18:26:00,5,10999,10999,10999,10999,10999
O0161,U0180,P0179,1,2024-06-01 13:44:00,5,499,499,499,499,499
O0162,U0252,P0076,1,2024-06-02 09:37:00,4,3999,3999,3999,3999,3999
O0163,U0370,P0154,2,2024-06-02 14:52:00,5,3598,1799,1799,3598,1799
O0164,U0056,P0049,1,2024-06-03 17:21:00,4,899,899,899,899,899
O0165,U0115,P0146,1,2024-06-04 12:38:00,5,35999,35999,35999,35999,35999
O0166,U0220,P0171,1,2024-06-05 19:09:00,5,1499,1499,1499,1499,1499
O0167,U0302,P0134,1,2024-06-06 10:14:00,4,4499,4499,4499,4499,4499
O0168,U0465,P0164,1,2024-06-07 09:59:00,5,199,199,199,199,199
O0169,U0190,P0024,2,2024-06-07 15:25:00,5,3998,1999,1999,3998,1999
O0170,U0087,P0060,1,2024-06-08 12:11:00,4,2999,2999,2999,2999,2999
O0171,U0407,P0157,1,2024-06-09 18:34:00,5,6999,6999,6999,6999,6999
O0172,U0232,P0182,1,2024-06-10 09:43:00,5,5499,5499,5499,5499,5499
O0173,U0328,P0098,1,2024-06-11 14:29:00,4,31999,31999,31999,31999,31999
O0174,U0069,P0168,2,2024-06-12 19:15:00,5,698,349,349,698,349
O0175,U0157,P0051,1,2024-06-13 09:31:00,5,45999,45999,45999,45999,45999
O0176,U0449,P0112,1,2024-06-14 16:58:00,4,42999,42999,42999,42999,42999
O0177,U0214,P0194,1,2024-06-15 11:42:00,5,449,449,449,449,449
O0178,U0282,P0103,1,2024-06-15 20:22:00,5,34999,34999,34999,34999,34999
O0179,U0349,P0181,1,2024-06-16 13:55:00,4,9999,9999,9999,9999,9999
O0180,U0127,P0072,1,2024-06-17 09:46:00,5,1999,1999,1999,1999,1999
O0181,U0198,P0014,1,2024-06-17 18:29:00,5,2499,2499,2499,2499,2499
O0182,U0435,P0133,1,2024-06-18 10:34:00,4,6499,6499,6499,6499,6499
O0183,U0094,P0022,1,2024-06-19 16:05:00,4,8999,8999,8999,8999,8999
O0184,U0311,P0150,1,2024-06-20 09:57:00,5,52999,52999,52999,52999,52999
O0185,U0466,P0054,1,2024-06-20 20:18:00,5,3599,3599,3599,3599,3599
O0186,U0133,P0175,1,2024-06-21 11:13:00,5,7999,7999,7999,7999,7999
O0187,U0254,P0126,1,2024-06-22 15:34:00,5,38999,38999,38999,38999,38999
O0188,U0376,P0089,1,2024-06-23 09:41:00,4,54999,54999,54999,54999,54999
O0189,U0142,P0177,2,2024-06-24 13:29:00,5,3198,1599,1599,3198,1599
O0190,U0298,P0196,1,2024-06-25 19:45:00,4,299,299,299,299,299
O0191,U0059,P0160,1,2024-06-26 10:26:00,4,3999,3999,3999,3999,3999
O0192,U0184,P0077,1,2024-06-27 12:59:00,5,899,899,899,899,899
O0193,U0412,P0117,1,2024-06-28 09:33:00,5,64999,64999,64999,64999,64999
O0194,U0227,P0040,2,2024-06-29 14:58:00,4,1198,599,599,1198,599
O0195,U0085,P0195,1,2024-06-30 18:27:00,5,349,349,349,349,349
O0196,U0307,P0180,1,2024-07-01 11:22:00,5,2999,2999,2999,2999,2999
O0197,U0153,P0109,1,2024-07-02 09:17:00,4,29999,29999,29999,29999,29999
O0198,U0392,P0153,1,2024-07-02 16:40:00,5,2999,2999,2999,2999,2999
O0199,U0126,P0007,1,2024-07-03 12:25:00,4,7499,7499,7499,7499,7499
O0200,U0457,P0190,1,2024-07-04 19:36:00,5,5499,5499,5499,5499,5499
O0201,U0374,P0066,1,2024-07-05 09:28:00,5,18999,18999,18999,18999,18999
O0202,U0165,P0135,1,2024-07-05 18:44:00,4,6499,6499,6499,6499,6499
O0203,U0218,P0174,1,2024-07-06 10:11:00,5,1999,1999,1999,1999,1999
O0204,U0052,P0114,1,2024-07-07 14:59:00,5,62999,62999,62999,62999,62999
O0205,U0317,P0081,1,2024-07-07 20:22:00,4,42999,42999,42999,42999,42999
O0206,U0091,P0193,1,2024-07-08 12:14:00,5,399,399,399,399,399
O0207,U0229,P0008,1,2024-07-09 09:52:00,4,32999,32999,32999,32999,32999
O0208,U0402,P0172,1,2024-07-09 19:18:00,5,2999,2999,2999,2999,2999
O0209,U0195,P0046,1,2024-07-10 11:37:00,5,7999,7999,7999,7999,7999
O0210,U0139,P0187,1,2024-07-11 13:25:00,4,4999,4999,4999,4999,4999
O0211,U0448,P0026,2,2024-07-12 10:45:00,5,2598,1299,1299,2598,1299
O0212,U0258,P0075,1,2024-07-13 15:42:00,5,1799,1799,1799,1799,1799
O0213,U0182,P0161,1,2024-07-14 09:21:00,4,599,599,599,599,599
O0214,U0338,P0011,1,2024-07-15 17:33:00,5,299,299,299,299,299
O0215,U0121,P0197,1,2024-07-15 20:59:00,5,599,599,599,599,599
O0216,U0399,P0023,1,2024-07-16 09:40:00,4,2999,2999,2999,2999,2999
O0217,U0281,P0162,2,2024-07-17 12:29:00,5,898,449,449,898,449
O0218,U0067,P0090,1,2024-07-18 19:35:00,4,1299,1299,1299,1299,1299
O0219,U0159,P0052,1,2024-07-19 09:15:00,5,2499,2499,2499,2499,2499
O0220,U0245,P0189,1,2024-07-20 11:56:00,4,899,899,899,899,899
O0221,U0082,P0121,1,2024-07-20 18:37:00,5,29999,29999,29999,29999,29999
O0222,U0437,P0034,1,2024-07-21 10:08:00,5,4999,4999,4999,4999,4999
O0223,U0305,P0170,1,2024-07-22 12:46:00,4,199,199,199,199,199
O0224,U0273,P0156,1,2024-07-23 19:25:00,5,3499,3499,3499,3499,3499
O0225,U0147,P0198,1,2024-07-24 09:52:00,5,549,549,549,549,549
O0226,U0212,P0027,1,2024-07-25 11:31:00,4,11999,11999,11999,11999,11999
O0227,U0371,P0130,1,2024-07-26 15:12:00,5,44999,44999,44999,44999,44999
O0228,U0100,P0188,1,2024-07-27 10:24:00,5,3999,3999,3999,3999,3999
O0229,U0296,P0042,2,2024-07-27 18:33:00,4,398,199,199,398,199
O0230,U0423,P0106,1,2024-07-28 09:41:00,5,9999,9999,9999,9999,9999
O0231,U0186,P0142,1,2024-07-29 12:58:00,5,45999,45999,45999,45999,45999
O0232,U0346,P0096,1,2024-07-30 11:19:00,4,23999,23999,23999,23999,23999
O0233,U0267,P0124,1,2024-07-30 20:45:00,5,104999,104999,104999,104999,104999
O0234,U0410,P0175,1,2024-07-31 09:34:00,5,7999,7999,7999,7999,7999
O0235,U0150,P0058,1,2024-08-01 14:12:00,4,42999,42999,42999,42999,42999
O0236,U0206,P0147,1,2024-08-02 10:59:00,4,29999,29999,29999,29999,29999
O0237,U0092,P0015,1,2024-08-03 16:18:00,5,7999,7999,7999,7999,7999
O0238,U0451,P0032,1,2024-08-03 20:27:00,5,49999,49999,49999,49999,49999
O0239,U0330,P0169,2,2024-08-04 09:55:00,5,798,399,399,798,399
O0240,U0129,P0025,1,2024-08-05 11:43:00,4,38999,38999,38999,38999,38999
O0241,U0279,P0190,1,2024-08-05 18:25:00,5,5499,5499,5499,5499,5499
O0242,U0385,P0108,1,2024-08-06 09:13:00,5,56999,56999,56999,56999,56999
O0243,U0057,P0137,1,2024-08-07 14:36:00,4,2999,2999,2999,2999,2999
O0244,U0168,P0178,1,2024-08-08 12:44:00,5,24999,24999,24999,24999,24999
O0245,U0224,P0151,1,2024-08-09 09:16:00,4,1999,1999,1999,1999,1999
O0246,U0293,P0184,3,2024-08-09 19:27:00,5,897,299,299,897,299
O0247,U0119,P0095,1,2024-08-10 13:22:00,5,57999,57999,57999,57999,57999
O0248,U0360,P0159,1,2024-08-11 09:48:00,4,21999,999,999,999,999
O0249,U0404,P0069,1,2024-08-11 17:32:00,4,3499,3499,3499,3499,3499
O0250,U0081,P0003,1,2024-08-12 09:21:00,5,23999,23999,23999,23999,23999
O0251,U0189,P0070,1,2024-08-13 10:54:00,5,19999,19999,19999,19999,19999
O0252,U0315,P0180,1,2024-08-14 12:11:00,4,2999,2999,2999,2999,2999
O0253,U0109,P0041,1,2024-08-15 19:38:00,5,249,249,249,249,249
O0254,U0269,P0116,1,2024-08-16 09:25:00,5,129999,129999,129999,129999,129999
O0255,U0443,P0150,1,2024-08-17 14:47:00,4,52999,52999,52999,52999,52999
O0256,U0173,P0172,1,2024-08-18 11:36:00,5,2999,2999,2999,2999,2999
O0257,U0226,P0068,1,2024-08-19 10:03:00,5,2499,2499,2499,2499,2499
O0258,U0390,P0018,1,2024-08-19 20:59:00,4,62999,62999,62999,62999,62999
O0259,U0306,P0163,1,2024-08-20 09:31:00,5,749,749,749,749,749
O0260,U0136,P0132,1,2024-08-20 17:55:00,5,7999,7999,7999,7999,7999
O0261,U0210,P0087,1,2024-08-21 13:14:00,4,8999,8999,8999,8999,8999
O0262,U0099,P0148,1,2024-08-22 09:28:00,4,33999,33999,33999,33999,33999
O0263,U0270,P0186,1,2024-08-22 16:02:00,5,1899,1899,1899,1899,1899
O0264,U0429,P0006,1,2024-08-23 10:19:00,5,3999,3999,3999,3999,3999
O0265,U0332,P0119,1,2024-08-23 19:47:00,4,16999,16999,16999,16999,16999
O0266,U0058,P0044,2,2024-08-24 09:53:00,5,1998,999,999,1998,999
O0267,U0367,P0155,1,2024-08-25 14:36:00,5,1599,1599,1599,1599,1599
O0268,U0122,P0192,1,2024-08-26 09:27:00,4,499,499,499,499,499
O0269,U0197,P0179,2,2024-08-27 12:33:00,5,998,499,499,998,499
O0270,U0450,P0020,1,2024-08-28 11:22:00,4,12999,12999,12999,12999,12999
O0271,U0107,P0140,1,2024-08-29 09:59:00,5,39999,39999,39999,39999,39999
O0272,U0222,P0035,1,2024-08-30 15:47:00,4,1999,1999,1999,1999,1999
O0273,U0289,P0158,1,2024-08-31 10:25:00,5,1499,1499,1499,1499,1499
O0274,U0415,P0185,1,2024-09-01 09:36:00,5,3499,3499,3499,3499,3499
O0275,U0179,P0094,1,2024-09-01 19:48:00,4,4999,4999,4999,4999,4999
O0276,U0251,P0166,1,2024-09-02 12:54:00,4,499,499,499,499,499
O0277,U0340,P0125,1,2024-09-03 11:07:00,5,96999,96999,96999,96999,96999
O0278,U0061,P0171,2,2024-09-04 09:19:00,5,2998,1499,1499,2998,1499
O0279,U0299,P0073,1,2024-09-05 13:21:00,4,1499,1499,1499,1499,1499
O0280,U0425,P0183,1,2024-09-06 10:42:00,5,2999,2999,2999,2999,2999
O0281,U0111,P0196,1,2024-09-07 09:11:00,4,299,299,299,299,299
O0282,U0372,P0047,1,2024-09-07 20:33:00,5,999,999,999,999,999
O0283,U0234,P0129,1,2024-09-08 15:19:00,4,35999,35999,35999,35999,35999
O0284,U0202,P0164,2,2024-09-09 09:44:00,5,398,199,199,398,199
O0285,U0089,P0010,1,2024-09-10 11:37:00,4,499,499,499,499,499
O0286,U0320,P0131,1,2024-09-11 09:12:00,5,2999,2999,2999,2999,2999
O0287,U0140,P0182,1,2024-09-12 10:41:00,5,5499,5499,5499,5499,5499
O0288,U0454,P0028,1,2024-09-13 12:28:00,4,9999,9999,9999,9999,9999
O0289,U0309,P0113,1,2024-09-14 09:22:00,4,21999,21999,21999,21999,21999
O0290,U0192,P0176,1,2024-09-15 10:18:00,5,699,699,699,699,699
O0291,U0128,P0195,1,2024-09-16 12:25:00,5,349,349,349,349,349
O0292,U0277,P0157,1,2024-09-17 09:14:00,4,6999,6999,6999,6999,6999
O0293,U0414,P0107,1,2024-09-17 19:52:00,5,57999,57999,57999,57999,57999
O0294,U0155,P0031,1,2024-09-18 11:43:00,4,45999,45999,45999,45999,45999
O0295,U0237,P0168,2,2024-09-19 09:32:00,5,398,349,349,698,349
O0296,U0090,P0009,1,2024-09-20 13:21:00,5,6499,6499,6499,6499,6499
O0297,U0387,P0181,1,2024-09-21 09:48:00,4,9999,9999,9999,9999,9999
O0298,U0169,P0139,1,2024-09-22 12:15:00,4,15999,15999,15999,15999,15999
O0299,U0228,P0194,1,2024-09-23 09:17:00,5,449,449,449,449,449
O0300,U0312,P0144,1,2024-09-24 18:54:00,5,61999,61999,61999,61999,61999
O0301,U0144,P0064,1,2024-09-25 09:15:00,5,24999,24999,24999,24999,24999
O0302,U0187,P0021,1,2024-09-25 18:37:00,4,5999,5999,5999,5999,5999
O0303,U0350,P0191,1,2024-09-26 09:42:00,5,399,399,399,399,399
O0304,U0098,P0077,2,2024-09-27 11:56:00,5,1798,899,899,1798,899
O0305,U0417,P0154,1,2024-09-27 20:29:00,4,1799,1799,1799,1799,1799
O0306,U0274,P0086,1,2024-09-28 10:18:00,5,14999,14999,14999,14999,14999
O0307,U0113,P0012,1,2024-09-29 09:55:00,4,1999,1999,1999,1999,1999
O0308,U0204,P0199,1,2024-09-29 16:41:00,5,699,699,699,699,699
O0309,U0337,P0165,1,2024-09-30 12:21:00,4,149,149,149,149,149
O0310,U0442,P0049,1,2024-10-01 09:08:00,5,899,899,899,899,899
O0311,U0181,P0177,1,2024-10-02 11:14:00,5,1599,1599,1599,1599,1599
O0312,U0255,P0033,1,2024-10-02 20:17:00,4,2499,2499,2499,2499,2499
O0313,U0368,P0057,1,2024-10-03 13:12:00,5,48999,48999,48999,48999,48999
O0314,U0127,P0160,1,2024-10-04 09:33:00,4,3999,3999,3999,3999,3999
O0315,U0232,P0104,1,2024-10-04 17:25:00,5,12999,12999,12999,12999,12999
O0316,U0394,P0180,1,2024-10-05 09:42:00,5,2999,2999,2999,2999,2999
O0317,U0149,P0143,1,2024-10-06 11:28:00,4,41999,41999,41999,41999,41999
O0318,U0064,P0117,1,2024-10-06 19:14:00,5,64999,64999,64999,64999,64999
O0319,U0282,P0153,1,2024-10-07 09:48:00,4,2999,2999,2999,2999,2999
O0320,U0428,P0192,1,2024-10-07 15:21:00,5,499,499,499,499,499
O0321,U0176,P0098,1,2024-10-08 09:26:00,5,31999,31999,31999,31999,31999
O0322,U0300,P0167,1,2024-10-09 12:43:00,4,249,249,249,249,249
O0323,U0134,P0128,1,2024-10-10 10:38:00,5,15999,15999,15999,15999,15999
